AIReN_SCENARIO_1_20260221_225521.json,85,80
AIReN_SCENARIO_2_20260222_021713.json,85,80
AIReN_SCENARIO_3_20260222_022406.json,75,70
AIReN_SCENARIO_4_20260222_023131.json,85,80
AIReN_SCENARIO_5_20260222_023931.json,85,80
Guided_SCENARIO_1_20260221_215700.json,75,70
Guided_SCENARIO_2_20260221_220519.json,85,80
Guided_SCENARIO_3_20260221_221313.json,75,70
Guided_SCENARIO_4_20260221_222021.json,85,80
Guided_SCENARIO_5_20260221_222747.json,75,70
NoGuided_SCENARIO_1_20260221_215910.json,65,60
NoGuided_SCENARIO_2_20260221_220754.json,60,55
NoGuided_SCENARIO_3_20260221_221440.json,45,50
NoGuided_SCENARIO_4_20260221_222222.json,65,60
NoGuided_SCENARIO_5_20260221_222942.json,45,40
